摄像头生命周期管理系统 - 测试用例
版本号：v1.1.0,日期：2026-03-14,编制：北京其点技术服务有限公司

用例编号,模块,功能点,测试类型,前置条件,测试步骤,预期结果,优先级,状态
TC-001,认证与授权,用户登录,功能测试,用户已注册且审批通过,"1. 打开登录页
2. 输入正确用户名和密码
3. 点击登录",登录成功，跳转到首页,P0,待执行
TC-002,认证与授权,用户登录,异常测试,无,"1. 打开登录页
2. 输入错误密码
3. 点击登录",提示用户名或密码错误,P0,待执行
TC-003,认证与授权,用户登录,异常测试,无,"1. 打开登录页
2. 输入不存在的用户名
3. 点击登录",提示用户名或密码错误,P0,待执行
TC-004,认证与授权,用户登出,功能测试,用户已登录,"1. 点击用户头像
2. 选择退出登录
3. 确认",返回登录页，Token 已清除,P0,待执行
TC-005,认证与授权,JWT Token 认证,安全测试,用户已登录,"1. 登录后获取 Token
2. 使用 Token 访问受保护接口
3. Token 过期后访问接口",Token 有效时访问成功，过期后返回 401,P0,待执行
TC-006,认证与授权,权限控制,安全测试,普通用户登录,"1. 以普通用户登录
2. 尝试访问管理员页面",提示无权限或自动拦截,P0,待执行
TC-007,认证与授权,用户审批,功能测试,新用户已注册,"1. 新用户注册
2. 管理员登录后查看待审批
3. 审批通过",用户状态变为已通过，可以登录,P1,待执行
TC-008,认证与授权,匿名注册,功能测试,公司允许匿名注册,"1. 打开注册页
2. 选择允许匿名注册的公司
3. 填写信息并提交",注册成功，等待审批,P1,待执行
TC-009,认证与授权,匿名注册,异常测试,公司不允许匿名注册,"1. 打开注册页
2. 选择不允许匿名注册的公司",公司列表中不显示该公司或提示不可注册,P1,待执行
TC-010,用户管理,用户列表,功能测试,管理员登录,"1. 进入用户管理页面
2. 查看用户列表",显示所有用户，支持分页,P0,待执行
TC-011,用户管理,用户列表 - 筛选,功能测试,管理员登录,"1. 输入关键词搜索
2. 选择公司类型
3. 选择审批状态
4. 点击查询",显示筛选后的用户列表,P0,待执行
TC-012,用户管理,创建用户,功能测试,系统管理员登录,"1. 点击创建用户
2. 填写完整信息
3. 选择角色
4. 提交",创建成功，列表中出现新用户,P0,待执行
TC-013,用户管理,创建用户,异常测试,系统管理员登录,"1. 点击创建用户
2. 只填写必填项
3. 提交",创建成功,P0,待执行
TC-014,用户管理,创建用户,异常测试,系统管理员登录,"1. 点击创建用户
2. 用户名留空
3. 提交",提示用户名不能为空,P0,待执行
TC-015,用户管理,编辑用户,功能测试,管理员登录,"1. 点击编辑
2. 修改信息
3. 保存",修改成功,P0,待执行
TC-016,用户管理,删除用户,功能测试,管理员登录,"1. 点击删除
2. 确认删除",用户被删除，列表中不再显示,P1,待执行
TC-017,用户管理,重置密码,功能测试,管理员登录,"1. 选择用户点击重置密码
2. 输入新密码
3. 确认",密码重置成功，用户可用新密码登录,P1,待执行
TC-018,用户管理,批量导入,功能测试,管理员登录,"1. 下载模板
2. 填写用户数据
3. 上传文件
4. 导入",导入成功，显示导入结果,P1,待执行
TC-019,用户管理,批量导入,异常测试,管理员登录,1. 上传格式错误的 Excel,提示导入失败，显示错误原因,P1,待执行
TC-020,用户管理,角色分配,功能测试,管理员登录,"1. 编辑用户
2. 选择角色
3. 保存",角色分配成功,P0,待执行
TC-021,公司管理,公司列表,功能测试,管理员登录,"1. 进入公司管理页面
2. 查看公司列表",显示所有公司，支持分页,P0,待执行
TC-022,公司管理,创建公司,功能测试,系统管理员登录,"1. 点击创建公司
2. 填写信息
3. 选择公司类型
4. 提交",创建成功,P0,待执行
TC-023,公司管理,编辑公司,功能测试,管理员登录,"1. 点击编辑
2. 修改信息
3. 保存",修改成功,P0,待执行
TC-024,公司管理,删除公司,功能测试,系统管理员登录,"1. 点击删除非系统保护公司
2. 确认",公司被删除,P1,待执行
TC-025,公司管理,删除公司,异常测试,系统管理员登录,1. 尝试删除系统保护公司（北京其点）,提示不可删除或按钮禁用,P1,待执行
TC-026,公司管理,匿名注册配置,功能测试,系统管理员登录,"1. 编辑公司
2. 修改允许匿名注册选项
3. 保存",配置成功，注册页生效,P1,待执行
TC-027,角色管理,角色列表,功能测试,管理员登录,"1. 进入角色管理页面
2. 查看角色列表",显示所有角色，支持分页,P0,待执行
TC-028,角色管理,创建角色,功能测试,管理员登录,"1. 点击创建角色
2. 填写信息
3. 选择公司类型
4. 提交",创建成功,P0,待执行
TC-029,角色管理,编辑角色,功能测试,管理员登录,"1. 点击编辑
2. 修改信息
3. 保存",修改成功,P0,待执行
TC-030,角色管理,删除角色,异常测试,管理员登录,1. 尝试删除系统保护角色,提示不可删除,P1,待执行
TC-031,作业区管理,作业区列表,功能测试,管理员登录,"1. 进入作业区管理页面
2. 查看列表",显示所有作业区，支持分页,P0,待执行
TC-032,作业区管理,创建作业区,功能测试,管理员登录,"1. 点击创建
2. 填写信息
3. 选择所属公司
4. 提交",创建成功,P0,待执行
TC-033,作业区管理,编辑作业区,功能测试,管理员登录,"1. 点击编辑
2. 修改信息
3. 保存",修改成功,P0,待执行
TC-034,作业区管理,删除作业区,功能测试,管理员登录,"1. 点击删除
2. 确认",作业区被删除,P1,待执行
TC-035,个人中心,个人信息修改,功能测试,用户已登录,"1. 进入个人中心
2. 修改姓名/邮箱/手机
3. 保存",修改成功,P0,待执行
TC-036,个人中心,密码修改,功能测试,用户已登录,"1. 进入个人中心
2. 输入原密码和新密码
3. 保存",密码修改成功，可用新密码登录,P0,待执行
TC-037,个人中心,密码修改,异常测试,用户已登录,"1. 输入错误原密码
2. 保存",提示原密码错误,P0,待执行
TC-038,系统管理,系统配置,功能测试,系统管理员登录,"1. 进入系统配置
2. 修改配置项
3. 保存",配置保存成功,P1,待执行
TC-039,界面与体验,统一布局,UI 测试,任意页面,"1. 访问任意管理页面
2. 检查顶部导航栏
3. 检查底部声明",顶部紫色渐变导航栏正常，底部版权声明正常,P0,待执行
TC-040,界面与体验,首页导航,功能测试,任意页面,1. 点击 Home 图标,成功跳转到首页,P0,待执行
TC-041,界面与体验,页面间跳转,功能测试,任意页面,"1. 点击用户头像
2. 选择其他管理页面",成功跳转到目标页面,P0,待执行
TC-042,界面与体验,响应式设计,兼容性测试,不同屏幕尺寸,"1. 调整浏览器窗口大小
2. 检查页面布局",页面自适应，无明显布局错乱,P1,待执行
